,,0x3e1c,0x300b,0x1805,0x1004,0xc02,0x99c,0x802,0x6dd,0x601,0x556,0x4ce,0x45e,0x401,0x3b2,0x36e,0x333,0x300,0x2d3,0x2ab,0x287,0x267,0x249,0x22f,0x216,0x200,0x1eb,0x1d9,0x1c7,0x1b7,0x1a8,0x199,0x18c,0x180,0x174,0x169,0x15f,0x155,0x14c,0x143,0x13b,0x133,0x12b,0x124,0x11e,0x117,0x111,0x10b,0x105,0x100,0xfb,0xf5,0xf1,0xec,0xe8,0xe3,0xdf,0xdb,0xd7,0xd4,0xd0,0xcc,0xc9
b 1 55,No.2 spread,39641.805314389,37629.1714406284,32006.805823097082,23940.61058512652,15166.647866069836,8055.650352054537,6154.065727895251,7701.762660172329,7972.16396056415,6380.204723638712,4015.3628457027644,3252.640070529966,4510.15909259951,5266.994045485329,4762.1953822283895,3301.6888822790797,2037.8616011752842,2553.243756562652,3443.3973006537144,3543.66283663894,2832.604762685867,1962.470299336489,2085.233209257244,2790.110742018159,3036.3409366785413,2569.6094549223917,1678.0331538590326,1355.315004627711,2021.0382336070602,2513.6308145411986,2390.9035494787577,1745.032753310663,1181.5418832916864,1542.8879383802234,2097.5391611056702,2189.6447195791184,1745.5583907304847,1106.5417367604546,1167.6657439090357,1752.648429708601,2034.9128905769576,1803.9923071635671,1218.4680126233548,944.2156530378794,1427.1168777889866,1843.6282762576473,1811.1639967671306,1351.3906718812254,876.3092912583189,1138.3823907933224,1633.544615978673,1781.5271923905748,1485.5931580530353,972.343970556198,933.9037791628974,1410.0419575146457,1693.0409597472546,1556.3094385185568,1103.3967681046486,857.0411189890214,1242.7080367752271,1618.8988762934368
b 1 60,No.2 spread,41528.276019652905,39446.23392062927,33629.729724816636,25285.15430938589,16211.219539326086,8841.4314411017,6645.45011020283,8059.806469801762,8321.193604599639,6710.120873191871,4309.864818274118,3484.3776196725153,4714.961873190583,5500.087854447108,5018.617376819044,3565.749704676357,2270.5609559243385,2661.725270324819,3514.516745458575,3612.0440019072084,2898.6262470863135,2026.6789647583332,2149.0739117584044,2860.8510224411693,3115.643723390156,2654.901255309062,1779.2388769378078,1471.7439200249805,2117.137121104952,2600.7304320929793,2469.6927311102113,1816.19752662511,1254.7630229538936,1609.908921659457,2163.2179221396764,2252.7757073089615,1803.0340159730129,1168.3478101991448,1236.2729075679695,1821.0023767511987,2102.6298747757414,1866.2497318323594,1279.1407413399888,1016.3031526275829,1498.430730545187,1915.636378529535,1878.9775777128305,1411.4763932666513,936.1409228151024,1195.1461457311293,1692.4634367331507,1840.7808441897346,1539.8043469662682,1025.505962859865,992.0473653648689,1470.5668130345155,1756.1742046168717,1616.1976219962967,1158.6085886404633,913.8854672470485,1299.819184599924,1680.4120102995396
b 1 65,No.2 spread,43364.46686634753,41214.31741593931,35207.408056526474,26589.93831011466,17221.37036209499,9595.786060693308,7129.753881979414,8415.122070192523,8661.512292871997,7023.693673489353,4565.48547226668,3635.642440715656,4821.810084288116,5621.345570065545,5152.324095072226,3710.114808126144,2449.4560368040893,2835.317790025694,3676.2317861099573,3768.8906556305938,3052.0785118589047,2186.5869537050253,2290.5496051032346,2980.9871184237336,3224.676458601543,2753.475316956242,1880.7360565749195,1590.7030880750704,2228.773211837972,2706.343449762831,2565.6523988865565,1906.6916617075442,1364.5420267640475,1724.4344580733336,2274.861956742906,2357.9244663276154,1898.9853967488555,1269.9737952441963,1340.541585438772,1919.2884565405832,2196.886581104718,1950.47469952237,1356.1587279810674,1099.2843422180333,1581.204101771444,2000.6913139137096,1960.0282624538631,1485.9463862661319,1019.3904522374844,1282.2121087576659,1781.7075449515223,1928.8738800898932,1620.2796497642073,1103.5769321130406,1072.4463115155654,1551.5603989924018,1839.870325024356,1695.9833939613422,1233.5286184227125,992.2114732303854,1378.4898936790541,1764.2465083330576
b 1 70,No.2 spread,45341.67515347926,43105.23791605401,36858.15618155741,27897.181553508104,18146.42355598145,10132.1907807489,7259.437290385823,8376.033842321698,8548.365685782572,6838.117907910982,4436.3962472640815,3938.157428421012,5385.3508387800475,6222.45333868325,5723.452699382334,4287.579121457468,3140.500399717008,3470.2407855815627,4186.628018027946,4172.42765089372,3363.8025526261054,2470.4634259601294,2596.221319817795,3291.444927433257,3517.0024043968288,3017.9842282494487,2176.915157115072,1990.8646923956273,2634.0115773901252,3084.0098333780647,2899.030643139901,2215.01440810548,1722.7866769895131,2096.1041643025173,2631.9287068869826,2684.936759969033,2188.5320032525974,1566.04366862157,1653.01972250539,2225.7850095428144,2493.6200822113065,2222.689894930076,1625.738505733713,1411.2637371869512,1893.2064476439207,2310.042998882009,2250.169479089978,1751.607086943555,1296.213662739492,1555.1243174236797,2056.751190058045,2201.2748575668943,1876.3179193304704,1364.1678843797322,1347.8672979887606,1826.3586759402733,2119.3037326162867,1964.8754323347341,1493.0439994435487,1260.0260476133758,1639.0188761483366,2034.0714085026962
b 1 75,No.2 spread,47170.78941965023,44887.57106868993,38507.02588387488,29344.96040614524,19348.823674875457,11025.521800040642,7635.643053596604,8456.133525455856,8598.9874949642,6882.7216458925495,4400.621395409265,3783.186624253595,5265.355435986887,6173.616058098881,5741.02875416925,4358.814178290731,3232.410612789728,3526.48893987126,4221.053468448022,4207.529621003868,3406.638435807226,2513.3740541811217,2620.3068524964397,3308.744086334508,3542.366274959615,3054.962143503269,2213.4359813104406,1989.122193595894,2599.2652017245036,3040.0711199676593,2855.635949647018,2174.245109369533,1686.5765015709612,2070.5585080010965,2611.777395826537,2667.858419725607,2175.0193531754812,1557.2541588562779,1648.3159755221877,2220.6418435010323,2486.8508184523216,2215.029437450866,1618.5850370022558,1407.1441250655823,1890.9059788907261,2306.765685163891,2244.802081597715,1743.2932399517645,1284.9337521505868,1545.935307730355,2049.252050396408,2193.4255391401116,1867.2126357367447,1354.678066478592,1343.234348964448,1825.7668412445585,2119.0170243350913,1962.8400115584768,1488.388928183964,1255.576230556998,1638.8000613493145,2036.2246846647006
b 1 80,No.2 spread,49280.06243981176,46930.56403526481,40363.73329221575,30931.552415715538,20636.663911940155,12036.034449981575,8315.254883599075,8898.84381159315,8992.221817653768,7241.508359767484,4659.929308888654,3835.354557309194,5267.638035363759,6227.216820032933,5850.721522432915,4509.183982441291,3393.3927344432964,3650.296799043097,4327.645637243548,4316.969789141195,3518.1725359938614,2609.274742248996,2675.5769355186353,3350.7958807668383,3594.0224056770085,3121.979631744176,2296.1430480502904,2067.32964220744,2659.2874628994446,3096.359984213664,2912.7769149615533,2228.240655963682,1722.7413741969772,2085.3863702843373,2625.0100662048803,2686.123847688412,2197.261766387627,1579.211487204537,1663.3212598664063,2233.916849719323,2502.103168984305,2230.6767692715493,1630.5575146138726,1411.8945173393095,1894.9502991096404,2314.2413062166224,2254.6810074859845,1753.5368847237396,1294.8840504711038,1556.277620264933,2061.250630116044,2205.9599131787686,1877.9326737339309,1362.3985343761906,1350.7583697225757,1836.2643530245305,2131.430728363574,1974.289936247471,1496.394920657588,1260.9957991649173,1646.2940945669345,2046.2477923684928
b 1 85,No.2 spread,51323.143679379486,48877.54091814539,42042.885354798505,32229.28772661009,21528.505104594933,12619.60015991083,8812.955434089556,9439.48527208553,9562.484463493984,7813.273993442237,5284.873571204172,4495.850282788755,5823.788008253219,6726.862121143674,6298.073020246314,4902.501680072702,3748.049372858999,3964.157707041785,4625.854712379118,4607.537286465059,3799.0128721014835,2890.79903045313,2933.90173467918,3580.757318320266,3807.1389192691568,3322.3725574313785,2510.0924134286315,2311.4019050660927,2895.3795962274585,3314.676738808594,3106.7125382575873,2410.902608704476,1939.1638209781386,2324.423900885354,2865.569371936747,2914.861334887586,2408.979257575341,1795.459536418593,1880.8560866140692,2442.874808583721,2703.6362613424326,2418.9413357443837,1820.6671587381866,1625.6208390211873,2108.4085149312496,2523.9169256799214,2450.7047263655168,1934.726659805962,1485.8450692062672,1752.8403620854135,2262.078121914025,2405.4185669536,2066.617560747429,1550.3749684853158,1541.3689423196136,2025.908691532512,2324.2921114333494,2161.310750053787,1678.0412582649467,1446.8438335260612,1829.2954259252435,2235.0752817157436
b 1 90,No.2 spread,53929.829328368054,51433.35375282504,44453.60470020746,34422.441764499265,23460.875844991646,14229.240677604423,9804.140144047717,9866.893495911565,9821.566302596393,7991.175784255995,5247.576958412677,4086.6403609822037,5391.057884987614,6419.938533062076,6123.400799989256,4829.187820912771,3706.015702844858,3887.0413911737887,4529.70827657858,4518.913614144144,3721.593080058448,2800.528740254896,2822.6457033312345,3477.466800808998,3728.8619988849905,3276.7921995725083,2488.7687486114596,2279.8631624832356,2840.3202674931194,3250.6462276613893,3044.423547579361,2345.944300369819,1851.6313032862793,2225.8230383278296,2771.734915035918,2832.3764362313173,2338.76842400559,1725.4581960245991,1803.220933490013,2363.07030092156,2625.4447919503255,2345.6774238000926,1747.1408929774022,1546.0739820596807,2031.7977032020744,2450.245872600557,2381.7940665646715,1868.276298154927,1410.0596819797956,1673.1903467807763,2182.8774709043114,2327.7006045607995,1991.0665557339148,1469.8486569948298,1457.457038175387,1945.6452236369255,2244.886143528263,2083.237404429689,1597.9294663794078,1362.338362658013,1750.0261897976131,2156.8899445124252
b 1 95,No.2 spread,56052.530265892245,53475.67931729548,46271.01610468936,35916.47619473513,24602.418011719205,15068.740705176939,10428.101644534234,10377.62738294634,10301.649218956127,8440.457750811982,5661.63876345808,4433.742262754884,5665.252885838062,6692.876972100876,6402.121933066922,5104.25202506447,3966.7596918419986,4108.445738444802,4730.6007562442755,4716.295826414206,3919.6482391497943,3003.1517339936427,3005.1001464050296,3635.9391901296694,3877.1075026912304,3419.870807255065,2638.1962147494237,2437.1055111148,2989.3782535264277,3393.031848607587,3178.4539082328984,2474.9634670623327,1985.124420654102,2352.1770565047696,2893.2977009430642,2948.980142313795,2449.8174109812935,1842.5826625160137,1924.436349533046,2481.136383282763,2739.8508376711175,2451.960068864465,1849.553743301743,1652.6826036228279,2137.9846224257694,2557.5624200585976,2484.9903617163473,1965.296860358213,1510.3216592491979,1773.7707105700038,2285.0518488540733,2429.1074877160468,2086.55584929178,1564.1081428382026,1554.0770707745012,2043.71070693869,2345.132021378062,2179.7979374097768,1690.1025322218113,1456.1175492764341,1844.733681001199,2256.1022525060225
b 1 100,No.2 spread,58929.76968259934,56265.720790747444,48816.654016027365,38109.602857438644,26407.775317336724,16516.186062855242,11492.43032450055,11106.97019388798,10896.295460365753,8953.591587096878,6059.766159455647,4635.27857878538,5774.67055412821,6838.613586709038,6597.007154817701,5328.636949478975,4185.228195856556,4277.592050216557,4871.221135669165,4850.714843197636,4048.412605647017,3116.79742596378,3093.7022505417804,3720.206161339803,3974.9522812475593,3536.69207596731,2776.315240242705,2572.7963102185204,3097.1520218058176,3482.1597966541362,3254.4724334078983,2542.13933472163,2054.076375611968,2427.2802685779147,2975.687110481709,3035.2255564935826,2534.95592779664,1923.137170012668,1990.2418192776527,2538.4917169651994,2795.9056623718266,2506.8057970515056,1907.0294038015932,1717.7666924289554,2204.4370265210896,2623.8977740053742,2547.2770749102347,2021.1958283300432,1564.5889238144557,1829.3121067464547,2344.343760673586,2489.6882558583234,2144.035434807689,1619.440623258933,1609.1784879868114,2100.0865422179686,2403.3304230887006,2235.779974303045,1742.5985485818312,1508.852957154521,1899.3240080502605,2314.2429917879576
