b 3 55,Mining kt,138354.4727659151,135712.80832481146,128046.69186860582,116107.22049086561,101066.37708571891,84415.16461253702,67852.93616016705,53176.466975423245,42081.356904374225,35566.52809117144,32996.89829596348,32364.729063804396,31912.092290862485,30932.186408024227,29533.25390012894,28174.275689300517,27247.64522684029,26808.323899947634,26574.259096599537,26149.287987081596,25249.734230460257,23807.269605364778,21964.3814555617,20009.441539347154,18273.008945280264,16997.561204937167,16231.12430438993,15831.494397747047,15588.221084380903,15352.082317244247,15084.354711230044,14827.920686216632,14641.126644384418,14538.881477176197,14475.820416377146,14376.01437581765,14180.910101003958,13882.4105597199,13525.582149702674,13183.003040111964,12914.89869763709,12737.940739443828,12622.783107952991,12520.11946645758,12394.279583848538,12242.266850347862,12089.923468681218,11970.91208278949,11902.806957158678,11875.654844905781,11859.400345381768,11822.99903732407,11751.547737397284,11651.912406261388,11545.77743416584,11455.843999108563,11393.896398870664,11357.504002718786,11335.875161414391,11319.2154979606,11304.62435461989,11295.328253396066
b 4 55,Mining kt,134138.9366750765,131753.30653086904,124828.38791441741,114036.65628347613,100424.60002231841,85313.57432463628,70180.20042925942,56515.453518917915,45613.28065131317,38182.56462887652,33885.31017623902,31452.422765372645,29565.863651306343,27545.25546547358,25383.89030117256,23459.201309966764,22162.74050217446,21581.59790745519,21431.63048521434,21279.36581745753,20801.364213499543,19898.040078992315,18680.602121370735,17392.56626807215,16294.852822502999,15541.368354102795,15109.489272167808,14843.791675153225,14573.82506300876,14208.711611737943,13762.162935958959,13318.917455533781,12970.40884176051,12754.306892449207,12634.56002239937,12532.510660597874,12379.954315613497,12155.915093360945,11890.143012762608,11637.637084496533,11440.914864151297,11303.247752518126,11190.18470049944,11056.06203380869,10874.881916851862,10656.22551300831,10439.278527276021,10269.803501276978,10173.564402541662,10142.852511687906,10144.35846747774,10140.724246790762,10109.981938353349,10052.315030929343,9983.529870069093,9921.69600064698,9875.882855982116,9843.448972696959,9815.968264648265,9787.988866029245,9761.811327995609,9745.332730831116
b 5 55,Mining kt,138488.06211535464,136230.21532841795,129679.50569753547,119481.23258680772,106636.37000234037,92398.01864091825,78136.70629554622,65168.62897557379,54522.66540100573,46646.89608154264,41215.24912030426,37327.956915427894,34062.69239191601,30914.16010198398,27875.818275993053,25267.206422828247,23440.41149981243,22484.235205500703,22128.096476567916,21930.71934836185,21539.90647855632,20818.170302542956,19832.089079425918,18770.320844523816,17832.24883865723,17124.358689765562,16616.173255824157,16183.867869893715,15702.473778711008,15119.124419250735,14473.468816761662,13867.956124399414,13406.335089848397,13131.797660233646,13004.529233320727,12933.840936067232,12835.26286289311,12670.856579706622,12454.928195175004,12231.044673385293,12037.50700369398,11882.076567896018,11740.653106791935,11577.847850370192,11372.901388680733,11134.183316577659,10895.39929532235,10697.14898004987,10565.013429895433,10497.623701710821,10471.554332853406,10457.620441887964,10436.261740183847,10403.20258145783,10364.777040362744,10328.479636052522,10295.935948234177,10262.631436555608,10223.44450578971,10179.026195681756,10137.946231182272,10112.804143483609
b 5 60,Mining kt,137979.10494715418,135593.33742928223,128667.15496578257,117870.52223962313,104245.72533435833,89107.53082412992,73921.0873077639,60155.9933431587,49073.85926727371,41369.42345513288,36772.63058111396,34150.66822340068,32274.151177421663,30457.80126556228,28624.728275228106,27038.772423656224,25965.80030451405,25424.42605141638,25159.623063593357,24816.02462873281,24131.09012509757,23027.73627804557,21609.596432146787,20097.996596619912,18736.615545653716,17688.607938293317,16972.655419646657,16483.575518053854,16081.172800506309,15675.774646689062,15259.605238753787,14882.782193318528,14599.775020270077,14421.387165172582,14302.45031859216,14169.51521071594,13963.980707781382,13671.637892543433,13325.220031127863,12982.511839225412,12692.993334865865,12472.080725019277,12298.645626804791,12135.53495140779,11956.727625165639,11763.137604597654,11579.454991816197,11436.206379821593,11349.109784852295,11309.065683699118,11288.491970055682,11257.940594818705,11201.175319012944,11120.438770082596,11031.042152553959,10950.24844562727,10887.681430316496,10842.604297799064,10808.348391703239,10779.412513352223,10755.764533992191,10741.82458018525
b 5 65,Mining kt,149905.54765041306,147243.94456257237,139515.3246254772,127463.47627026578,112250.01209243298,95352.25424689088,78444.43882912934,63262.03953434157,51379.28044131641,43723.403304530606,39920.1313361899,38400.23820394727,37531.35243486773,36431.061018832086,34950.255719237706,33326.81523181964,31844.478329608522,30609.75570224796,29507.1183445764,28312.72948065699,26853.89095232871,25110.176446020367,23226.466839651475,21451.731237621847,20025.67339268235,19055.857592808436,18464.340623893593,18054.021513264237,17637.822683003415,17131.828247487378,16572.173684707348,16068.577701386026,15724.171738758976,15564.12302762258,15518.418249886001,15466.996292918378,15307.084773125522,14998.562376073109,14571.771324762076,14103.802409981072,13677.687103608258,13344.113708521534,13105.857997053869,12931.920887273664,12787.1838577303,12654.851750921893,12539.181433802656,12451.841008379608,12395.040026079725,12354.531741614956,12306.747186938288,12233.498098913185,12133.287507193836,12021.95890360717,11922.757253736265,11852.373661954043,11812.060393048572,11789.390261324917,11768.58360964059,11741.593374276825,11712.525213931189,11693.131048936066
b 5 75,Mining kt,176511.9964171695,173296.21843533547,163961.4332267709,149416.94504496458,131089.82278835686,110812.17567464485,90695.27571698122,72982.20354801326,59738.883813318374,52059.97073679759,49088.04432422474,48474.21523576911,48115.51882097817,47024.38228658139,45139.254403747196,42869.23118885833,40690.3522073872,38863.629689477755,37340.88588764027,35873.37130470215,34214.20514214212,32272.0768679896,30154.618597174063,28112.02378133164,26412.735604404497,25201.230716908627,24420.676653657254,23861.88790815523,23296.926566544396,22595.073687804503,21763.96021176747,20918.781148553815,20205.088139600753,19711.499240659396,19420.227306203582,19226.422453864227,19006.04752647769,18680.789322588054,18245.82892978263,17757.47000512568,17295.04759898519,16918.426828061896,16643.135177750955,16444.669491511242,16283.81613071567,16132.374814419178,15983.625794343807,15845.895553024164,15728.349626105299,15630.635187181593,15542.81080086218,15453.479935184921,15358.505921672824,15263.547667948256,15179.054095942362,15111.9406660334,15060.341264838371,15015.300560979014,14967.99316339643,14917.081957782179,14870.906962092955,14842.844716922025
b 6 55,Mining kt,131405.03867150756,129352.77049455322,123401.37580902305,114145.07951279517,102503.12087328856,89619.34826619209,76728.79971295147,64986.76296489293,55250.97449350004,47847.97403774078,42471.68294274089,38393.2018397711,34891.635848369864,31581.189852266703,28472.992994803375,25835.300813329388,23950.866294227817,22878.708006931374,22381.862986497497,22080.243749966536,21663.77064018715,21000.734653548283,20129.98092826479,19189.39487809319,18323.43092493588,17606.119178112313,17015.522129982124,16470.306669856953,15896.516116250881,15278.121365566027,14666.048259808163,14146.025538758047,13783.640820538827,13579.877790806122,13468.843340015552,13357.78908331214,13177.280999368268,12910.602814259455,12592.546333069296,12283.568776665836,12033.779824952358,11856.354609575485,11725.880503872924,11600.171328539616,11448.060599205213,11265.463535974592,11073.23292144269,10901.356408020243,10770.326718999097,10681.065935836656,10618.487310595106,10564.064333443563,10507.526278923813,10450.461077739445,10401.286421341474,10366.555008552376,10345.148135468706,10329.12068963291,10309.860136887202,10284.619343956461,10258.71796231159,10241.989654260877
b 6 60,Mining kt,148871.04141315114,146590.751150088,139974.8162961727,129673.8025511472,116693.59355090006,102284.80092354103,87796.5820406841,74492.3646994517,63321.16754498033,54676.25177993585,48282.9070917368,43395.51927236055,39237.013135268084,35360.910260876946,31745.101622925926,28662.32150767188,26426.961258089203,25127.917710699043,24524.226600412832,24194.500086511627,23776.40248493868,23099.890252734473,22188.200125796193,21183.934542866817,20248.51709612261,19473.698865044742,18844.663951739316,18271.57346319636,17660.472549597867,16973.572764315166,16248.857058001051,15576.747389326401,15048.536202129691,14704.186175946832,14512.40289941967,14395.675640446421,14277.742642864401,14119.015626802096,13922.958425539868,13717.557104899333,13527.430930408445,13354.499505154268,13178.206991511097,12972.503314423608,12726.194081035928,12453.386206650377,12188.522864960278,11969.447998544782,11818.563298083043,11733.51804011479,11692.479137761235,11668.677028843947,11643.639002099702,11611.823343394104,11576.46859182069,11541.728546439079,11507.26687659361,11468.670863503223,11422.4654521595,11371.337757628471,11325.326606493516,11297.661996155171
b 6 65,Mining kt,148376.91660974346,146015.8778598738,139158.66354405181,128459.14907882595,114930.64289613062,99840.23458898126,84573.9684821349,70472.77561236359,58623.45192865515,49597.546847040176,43242.963482327745,38785.11297828436,35301.840578742675,32197.926468682723,29353.500154145808,26980.307250139667,25339.032444557666,24469.851694308356,24114.444627904166,23874.712709647836,23429.08803267679,22644.041749632375,21571.838435018137,20383.70075040844,19274.943213148126,18372.70761514858,17686.77356916312,17132.03489855778,16602.035133654994,16038.382106497687,15457.440157964484,14929.926631935645,14530.509813665241,14287.212391858415,14162.972559196756,14079.97913673043,13964.476578155347,13780.275913538513,13535.583111050244,13266.299348909033,13008.949893435374,12779.446828113609,12569.383936387983,12359.548618150146,12138.937669814724,11915.776564384923,11714.191908527422,11559.674766856291,11463.26145913798,11414.992908067245,11390.384399690207,11364.279329285893,11322.527993086409,11265.329046584071,11202.266509348783,11143.662090594285,11094.077285298425,11051.530150737124,11011.758328016644,10973.583829695872,10941.255139200053,10922.233581336237
b 6 70,Mining kt,152476.5508500241,149926.2126228505,142518.08480272337,130955.98067148797,116333.8087780708,100028.69784243623,83569.59294532567,68482.37599258184,56079.47924073479,47131.858563086826,41500.39622827107,38164.93806661025,35882.49344228907,33852.69798799834,31866.456680287847,30085.76204438868,28730.82595819266,27844.42201829023,27242.79886056214,26642.591903205546,25827.48632644957,24739.8130883896,23478.095114691652,22228.57070283441,21164.9177735535,20359.93585372318,19759.726859039758,19236.380527023186,18675.81603650291,18041.178023402914,17383.84786022525,16805.735309557003,16394.0636817298,16164.732832869367,16051.517069211232,15946.45310904499,15758.002681755857,15450.068440561794,15047.90352258927,14615.972409058999,14221.579816018426,13902.668982454104,13656.74310923683,13454.921826598196,13267.92440325231,13085.033268444628,12915.838334990476,12777.45870168266,12678.326626116545,12610.233207409268,12553.248490370634,12488.472673589626,12408.944982578485,12321.853908130648,12241.71687557245,12179.84402563044,12137.321644195557,12105.887628661128,12075.28479348729,12041.323201556534,12008.979595756107,11988.689150879645
