,,0x3e1c,0x300b,0x1805,0x1004,0xc02,0x99c,0x802,0x6dd,0x601,0x556,0x4ce,0x45e,0x401,0x3b2,0x36e,0x333,0x300,0x2d3,0x2ab,0x287,0x267,0x249,0x22f,0x216,0x200,0x1eb,0x1d9,0x1c7,0x1b7,0x1a8,0x199,0x18c,0x180,0x174,0x169,0x15f,0x155,0x14c,0x143,0x13b,0x133,0x12b,0x124,0x11e,0x117,0x111,0x10b,0x105,0x100,0xfb,0xf5,0xf1,0xec,0xe8,0xe3,0xdf,0xdb,0xd7,0xd4,0xd0,0xcc,0xc9
b 6 75,Shock kt,509969.40703583206,495511.9017911736,454322.5444626294,392624.2039628419,319790.38036312733,247118.65357395858,186322.2111836802,146551.82401212698,128134.57650645728,120788.74173924355,114079.38849164764,104457.61850967804,93493.49807699358,84159.76454849093,77928.22956785072,73939.08169399897,70512.26947497117,66808.87890032613,63033.409801557944,59681.905501874666,56886.9877715004,54419.19272199159,52095.262263568125,49988.55285153171,48241.51248322525,46793.94474864748,45394.196115212886,43865.833948704494,42295.62203560994,40933.88790429227,39919.99171476036,39134.33618725059,38333.38766644255,37393.12165643124,36399.104856568876,35523.855516584474,34843.86919833555,34287.2735454453,33740.44697269318,33166.28178923851,32608.490789528907,32108.77786719689,31653.071681889658,31206.126583656012,30774.45181466227,30406.754520141865,30127.72560273514,29891.369384147703,29620.414526919078,29291.235593251236,28966.06932085861,28731.543062556135,28606.85618059329,28523.54527619409,28398.556450757715,28216.833424020002,28037.031910107427,27922.776957312955,27879.324014835303,27862.26473185483,27836.703477850842,27811.034939221874
b 6 80,Shock kt,545477.0038289874,530017.3501729369,485972.3891460208,419994.9800670353,342106.3823013685,264384.9131695518,199353.33522503485,156797.53412224943,137077.79519044264,129211.15606770197,122036.90386862241,111751.29070767705,100026.4636203382,90039.26629654829,83366.999445654,79095.4129690504,75429.48388042484,71469.66153608053,67431.42972123821,63844.13591618108,60851.17553208997,58209.513390704764,55724.08081594219,53472.36085158481,51605.058601645615,50056.949440721604,48559.22007857538,46923.9212740307,45244.223478058455,43787.76209181443,42703.41401252142,41863.29759659658,41007.031690277734,40001.83600243074,38938.902502066136,38002.556917589754,37274.81357041456,36679.217722175534,36094.447781349045,35480.60888564744,34884.07561285207,34349.302123176334,33861.457959524094,33383.18297597791,32921.54804390572,32528.4543324703,32230.05016122803,31977.078809550632,31687.041168739,31334.821654333726,30986.993642703004,30736.120923197854,30602.70239153059,30513.573329977557,30379.948117182128,30185.652029166307,29993.292753626123,29870.90092101824,29824.249730615767,29806.021111841004,29778.895196678557,29751.651420491664
b 7 80,Shock kt,523038.74911746907,508686.27441865567,467767.2650631895,406372.75888372713,333657.439825477,260590.92592817958,198417.94592066924,155954.0381571816,134340.13726080523,124950.46445181119,117789.24679403333,108661.64943212854,98309.25067718628,89057.70433319011,82212.88019106851,77309.81255049894,73194.06118847226,69269.58964408467,65650.96673440163,62557.660599685994,59864.60644096283,57250.33865053363,54607.06481087764,52164.99851283452,50210.45687014329,48739.75371431241,47448.31748791643,46040.49905246864,44489.007016400195,42999.76788772276,41767.86034823681,40792.23201168285,39922.999065982185,39042.21999557207,38158.35228950351,37341.003109073725,36609.720112476316,35916.32828445805,35224.93932658549,34572.571879535455,34028.415781815376,33601.41662153356,33213.14622419616,32774.14947675348,32276.832476623294,31801.836204695897,31432.620862627908,31171.761384821548,30948.06553342679,30697.23913466479,30420.415290388974,30163.648114854015,29955.443315505923,29780.067626951393,29611.97501426654,29458.673746239085,29352.94996608164,29303.73628749791,29271.180185124504,29204.239341662953,29100.68745807236,29018.25670747176
b 7 85,Shock kt,557228.630907956,541939.9813271656,498351.649635084,432951.26594460226,355489.9063349782,277652.60582644073,211419.09275458372,166183.96285624726,143167.3420712049,133181.27649965687,125573.79186590976,115871.16154695659,104858.42578280008,95009.42840056813,87715.45175243307,82485.42304649738,78093.63137354932,73905.84892671918,70042.66585578087,66737.1511203589,63857.3904620474,61063.055726243576,58240.44306705703,55634.44264405782,53549.00684907483,51979.46625282079,50601.2338583235,49099.37854189237,47444.600795509716,45855.9374006119,44541.17757746598,43499.60315205021,42571.97942225288,41632.68611027738,40690.35174153038,39818.7572597218,39038.73509223661,38299.29889212114,37562.48884441408,36867.66017794547,36288.1667491321,35833.23592996942,35419.27964413112,34951.13460902445,34420.80429455136,33914.186744271814,33520.20018686667,33241.71331008342,33003.04264884362,32735.707264075972,32440.73621068582,32166.984848422653,31944.793037699816,31757.576497213544,31578.310421299597,31415.001192233318,31302.408400500426,31249.891064369524,31215.000880254524,31143.491931520595,31033.0865237259,30945.262521509805
b 7 90,Shock kt,591487.6538012809,575263.9505516413,529009.1129500966,459605.73731826013,377398.5669417268,294784.03897980537,224471.62464582507,176431.97666194,151972.72289037268,141358.07478070178,133282.222332978,122986.88451725406,111296.64799373246,100834.45772965623,93081.1208260796,87522.14513795961,82859.70862387514,78418.94992309046,74324.1881012023,70820.16642063473,67766.51689814743,64803.02715519752,61809.73311063627,59046.30798586904,56834.689034932904,55169.70309914773,53707.25429175672,52113.55225603265,50357.559977860605,48671.53865729221,47275.97193448261,46170.36929074309,45186.00953514314,44189.48393579326,43189.53796267819,42264.14685681777,41435.522252826355,40649.999289527135,39867.671359939304,39130.32312786664,38515.53149364043,38032.831082192046,37593.468412093775,37096.54881336874,36533.64711990559,35995.89494826944,35577.64200391823,35282.01372192611,35028.792431493406,34745.27642854102,34432.37950949905,34141.77645255538,33905.682987736756,33706.710434934874,33516.38645394896,33343.2208339479,33223.92791254488,33168.26222230334,33131.153247200506,33055.14225359358,32937.909477524394,32844.69761460524
b 7 95,Shock kt,625693.4087052192,608530.790902323,559598.461033567,486175.7911284792,399204.41836917755,311797.69528343785,237404.59233056562,186584.96551431218,160734.80515836706,149549.24751691497,141052.51797108413,130200.51184418649,117859.23656487495,106799.81511705,98590.47252048588,92694.15700634327,87744.8911356144,83031.4096853496,78685.15235969884,74965.27433837438,71724.73374148984,68583.77752405775,65415.31278616516,62492.33620902974,60153.210651454334,58390.985069361,56841.33919193802,55151.49981463645,53289.07602251438,51500.36092114862,50019.54290632135,48847.14840261795,47805.21223096806,46752.26229625064,45696.59166649467,44719.70160597418,43844.57190929152,43014.4390867666,42187.27793832975,41407.35056672739,40756.65991909689,40245.32510574983,39779.68470568468,39253.282721449184,38657.33849013964,38088.217038002666,37645.647980075846,37332.92914998225,37065.21697342453,36765.51770710056,36434.5979286754,36126.96336441,35876.748762507545,35665.81216576233,35464.270205952824,35281.14784178092,35155.10357908488,35096.264397786996,35056.915003745526,34976.37274440461,34852.27994694676,34753.65800587877
b 7 100,Shock kt,660295.2501407872,642188.7672245278,590564.7087799709,513100.8848754287,421337.89199418155,329107.013866837,250594.10168887512,196941.64135713602,169635.76360458654,157819.20913834052,148854.9524691994,137409.96076678237,124388.70513309597,112711.82526586099,104037.91025160352,97807.29530733937,92582.24845165543,87610.76537670469,83027.86791658553,79104.49961651026,75685.47188193093,72371.38113806363,69028.90520648737,65945.71180598116,63477.98124954057,61618.086406684604,59982.051960869685,58198.172655432376,56232.385445465115,54344.42024648869,52781.41212072419,51544.23935349246,50445.36233009008,49335.28362818696,48222.15304250068,47191.47959837876,46267.55402083013,45390.97380304604,44517.86262347368,43695.00611038519,43008.683470463315,42469.32109435607,41978.05454745497,41422.653686614736,40793.89025714354,40193.37584739064,39726.30199868534,39396.24675406653,39113.83178620942,38797.820717911396,38448.84006557884,38124.20532962511,37859.93858789659,37637.11732187883,37424.43009897206,37231.40715041807,37098.643764964654,37036.63474523458,36995.02190423703,36909.9087684182,36778.91557177558,36674.858394608615
b 8 60,Shock kt,372480.22627491935,362546.262534547,334214.3214441492,291667.7745538991,241178.22668150975,190212.4245006615,146320.26860506245,115349.78234981923,98349.21466061154,90244.13484446243,84589.73601757866,78289.45590163812,71445.83462030182,65267.24047620669,60418.19909409343,56612.244361602185,53266.066211155536,50172.59306457481,47505.18585644563,45386.598329770655,43622.02644515134,41873.83305667196,39997.54515603832,38146.284906240864,36573.64809099047,35365.600663060926,34378.91522152542,33416.255499688436,32408.70367727464,31424.829820279745,30546.042446610787,29769.816114632613,29037.53615103528,28325.391680452965,27675.24858436255,27133.00431234382,26677.57485284048,26231.28698951875,25739.26603599646,25224.793118382706,24761.114015708685,24393.765515508967,24098.906019947895,23818.137245267455,23521.474901367084,23226.769569349064,22963.547025613298,22732.53522776835,22509.923617538323,22285.65688046165,22083.183898866027,21933.35872781091,21833.404648818905,21742.601854462988,21622.90338506122,21478.811960092273,21352.087893238953,21277.66219394013,21249.919204017162,21235.358310635733,21212.5576940876,21191.15471547028
b 8 75,Shock kt,468986.59574393305,456492.1615714904,420856.44786308985,367337.63096040074,303818.7751519652,239685.15685249027,184426.5185360935,145397.37979805027,123934.47444876752,113684.37599561739,106544.43790946426,98600.5416283435,89963.53473946189,82149.12648611785,76004.44167000655,71185.05085724285,66964.40943029101,63078.031877145186,59734.580158147444,57080.22172481195,54866.45703012092,52669.16163055047,50308.335742116535,47977.923963226465,45998.18461506743,44478.83881052937,43240.886140462935,42035.76812371668,40774.89824787798,39542.19914357254,38438.82535498888,37462.09945856925,36539.75100069284,35642.92155572751,34824.43252263994,34141.67508313144,33567.965060782175,33005.77060989279,32386.217376829085,31738.463944462485,31154.43369050281,30691.484785879325,30320.027961278596,29966.918987403704,29594.290103737785,29224.07162682352,28892.989175667044,28602.027948842922,28321.666021667927,28039.582763837283,27785.20970754595,27597.042804449953,27471.382876384883,27357.06828045932,27206.38988025766,27025.026519706724,26865.40967131014,26771.48727367399,26736.412070841874,26718.26902479767,26690.057868718897,26663.544371302713
b 8 80,Shock kt,501358.04387507914,488004.00779813045,449915.86887260695,392711.47576912807,324813.12081494625,256248.2598207068,197157.42406442403,155405.62576968136,132437.10392948438,121474.17202740061,113852.47235470834,105377.31875090918,96158.54599608303,87812.14769230373,81244.35489036872,76090.76567146466,71577.87428130668,67423.56114449426,63849.8739132,61012.24989273652,58645.275332184836,56296.26217088589,53773.045436368855,51282.56551061825,49166.654634332226,47542.49522405916,46219.033436564205,44930.79130236743,43582.939543158325,42264.893727500756,41084.72655023815,40039.88849224518,39053.52639334792,38094.918017584554,37220.310500211504,36490.74059179843,35877.558512093405,35276.6049980397,34614.39249857237,33922.11073970556,33297.95849008789,32803.232858751486,32406.374677889224,32029.244637770127,31631.278247097624,31235.735792746797,30881.762575057313,30570.488173973376,30270.55699621841,29968.947514270225,29697.109094519394,29496.07654666649,29361.812012197213,29239.636168606758,29078.593155275612,28884.748040417493,28714.10181221708,28613.628106340562,28576.083462684604,28556.74833893003,28526.750405135324,28498.547720962837
