,value,period,hidisp_s,lodisp_s,hidisp_b,lodisp_b,category
b 8 20,27707.067683359328,159.0,121758.5493414443,,,,Upper 20% of displacements
b 8 25,27373.448302191297,159.0,,152781.95201232083,,,Lower 80% of displacements
b 8 30,29113.06243783963,159.0,,183549.03302038996,,,Lower 80% of displacements
b 8 35,30498.778096156246,159.0,,214735.89369836551,,,Lower 80% of displacements
b 8 40,31890.71208080367,159.0,,246010.0098679157,,,Lower 80% of displacements
b 8 45,33656.44750602171,159.0,,277433.84724353114,,,Lower 80% of displacements
b 8 50,35585.681107273165,159.0,,309018.1750035351,,,Lower 80% of displacements
b 8 55,37158.182137042386,159.0,,,340622.93936331396,,Upper 20% of displacements
b 8 60,37301.02908451466,159.0,,,,372480.22627491935,Lower 80% of displacements
b 8 65,40806.76961112779,159.0,,,404418.77285747475,,Upper 20% of displacements
b 8 70,41673.39125123256,159.0,,,436658.88915007305,,Upper 20% of displacements
b 8 75,42754.10100764604,159.0,,,,468986.59574393305,Lower 80% of displacements
b 8 80,44496.103720085026,159.0,,,,501358.04387507914,Lower 80% of displacements
b 8 85,46231.32780863086,159.0,,,,534030.9494072843,Lower 80% of displacements
b 8 90,47722.47749784148,159.0,,,,566589.2933939006,Lower 80% of displacements
b 8 95,48926.021491236286,159.0,,,,599564.8569544536,Lower 80% of displacements
b 8 100,50602.90355006144,159.0,,,,632738.4240271454,Lower 80% of displacements
b 9 5,23061.825681429375,159.0,28886.363989073463,,,,Upper 20% of displacements
b 9 10,24293.382477355408,159.0,,58022.92708459721,,,Lower 80% of displacements
b 9 15,26100.70227341161,159.0,87226.64535836727,,,,Upper 20% of displacements
b 9 20,27681.062802732285,159.0,116571.09611055747,,,,Upper 20% of displacements
b 9 25,29151.188208951142,159.0,146164.3564943368,,,,Upper 20% of displacements
b 9 30,28734.520562610604,159.0,,175917.83621270786,,,Lower 80% of displacements
b 9 35,30059.503242828698,159.0,,205666.11218230764,,,Lower 80% of displacements
b 9 40,31561.57676454266,159.0,,235633.84018460676,,,Lower 80% of displacements
b 9 45,33550.13963145061,159.0,,265611.59672499687,,,Lower 80% of displacements
b 9 50,34566.014920549394,159.0,,295930.71534588526,,,Lower 80% of displacements
b 9 55,36435.07667207523,159.0,,,,326293.46735471627,Lower 80% of displacements
b 9 60,37977.96808777444,159.0,,,,356706.49565799505,Lower 80% of displacements
b 9 65,38633.957357340805,159.0,,,,387169.9711780275,Lower 80% of displacements
b 9 70,41594.48058622284,159.0,,,418016.891911807,,Upper 20% of displacements
b 9 75,43111.43535966243,159.0,,,448903.3148742836,,Upper 20% of displacements
b 9 80,44372.62973993248,159.0,,,480097.593490498,,Upper 20% of displacements
b 9 85,45343.89054143731,159.0,,,,511295.95345591125,Lower 80% of displacements
b 9 90,46640.34325363579,159.0,,,,542603.6541262448,Lower 80% of displacements
b 9 95,48472.94793591942,159.0,,,,574128.7500046983,Lower 80% of displacements
b 9 100,50238.65087615226,159.0,,,,605490.3531914141,Lower 80% of displacements
b 10 5,23015.621731088442,159.0,27632.28081446112,,,,Upper 20% of displacements
b 10 10,24182.521247078264,159.0,,55513.30484926769,,,Lower 80% of displacements
b 10 15,25926.463829213273,159.0,83469.35021771518,,,,Upper 20% of displacements
b 10 20,27350.625406371717,159.0,111642.15423293249,,,,Upper 20% of displacements
b 10 25,28866.869721875493,159.0,139825.22186962183,,,,Upper 20% of displacements
b 10 30,28049.470498140116,159.0,,168452.800529539,,,Lower 80% of displacements
b 10 35,29746.719243038042,159.0,,196770.334647485,,,Lower 80% of displacements
b 10 40,31104.764953932496,159.0,,225440.12049616085,,,Lower 80% of displacements
b 10 45,32659.497646814612,159.0,,254206.51697340212,,,Lower 80% of displacements
b 10 50,34427.39456420136,159.0,,283038.6143313665,,,Lower 80% of displacements
b 10 55,35573.77579610956,159.0,,,,312142.053595265,Lower 80% of displacements
b 10 60,37190.63764097445,159.0,,,,341342.6197328602,Lower 80% of displacements
b 10 65,38661.44861771044,159.0,,,,370555.8784133682,Lower 80% of displacements
b 10 70,39937.799375523355,159.0,,,,399956.4807765074,Lower 80% of displacements
b 10 75,41139.57514302181,159.0,,,,429337.3274743863,Lower 80% of displacements
b 10 80,43707.49570381295,159.0,,,459146.2841083495,,Upper 20% of displacements
b 10 85,45292.829332307636,159.0,,,488891.9195811304,,Upper 20% of displacements
b 10 90,46747.31627838579,159.0,,,518925.83659958706,,Upper 20% of displacements
b 10 95,47058.76160150244,159.0,,,,549078.6482603189,Lower 80% of displacements
b 10 100,48525.01930554928,159.0,,,,579312.0866415693,Lower 80% of displacements
b 11 5,22887.340356026965,159.0,,26423.240223553803,,,Lower 80% of displacements
b 11 10,24098.29415889249,159.0,,53065.97188039276,,,Lower 80% of displacements
b 11 15,25876.288987684744,159.0,79794.82136340628,,,,Upper 20% of displacements
b 11 20,27060.321203499916,159.0,106725.6128643611,,,,Upper 20% of displacements
b 11 25,28492.33941032826,159.0,133660.75462656224,,,,Upper 20% of displacements
b 11 30,29205.794015989668,159.0,,160897.4605729617,,,Lower 80% of displacements
b 11 35,29244.454190180684,159.0,,188294.23427492363,,,Lower 80% of displacements
b 11 40,30581.043574243493,159.0,,215565.16170328367,,,Lower 80% of displacements
b 11 45,31964.661112063655,159.0,,243041.60393592587,,,Lower 80% of displacements
b 11 50,33517.70484292199,159.0,,270637.7978969404,,,Lower 80% of displacements
b 11 55,35421.2008000167,159.0,,,298266.1505016298,,Upper 20% of displacements
b 11 60,36370.76206241392,159.0,,,,326202.86783154926,Lower 80% of displacements
b 11 65,37832.11475355843,159.0,,,,354241.6356399934,Lower 80% of displacements
b 11 70,39265.24828854979,159.0,,,,382265.6882085159,Lower 80% of displacements
b 11 75,40547.43658690436,159.0,,,,410499.01707073255,Lower 80% of displacements
b 11 80,41656.40231975313,159.0,,,,438629.2920544153,Lower 80% of displacements
b 11 85,44284.973603607876,159.0,,,467280.8192686103,,Upper 20% of displacements
b 11 90,45709.030111043605,159.0,,,495756.1125241649,,Upper 20% of displacements
b 11 95,47227.47006744817,159.0,,,524508.870996858,,Upper 20% of displacements
b 11 100,48770.429814741554,159.0,,,553272.2245839378,,Upper 20% of displacements
b 12 5,22835.36988493372,159.0,,25256.82009747195,,,Lower 80% of displacements
b 12 10,23908.970669908565,159.0,,50695.14836691393,,,Lower 80% of displacements
b 12 15,25747.13975004911,159.0,76215.38983166825,,,,Upper 20% of displacements
b 12 20,26867.237434743267,159.0,101934.63862488953,,,,Upper 20% of displacements
b 12 25,28213.104056410022,159.0,127787.15515259665,,,,Upper 20% of displacements
b 12 30,29564.554504786276,159.0,153615.14480963472,,,,Upper 20% of displacements
b 12 35,29902.860915037418,159.0,,179760.07206729552,,,Lower 80% of displacements
b 12 40,30170.01802958041,159.0,,205923.96967973377,,,Lower 80% of displacements
b 12 45,31508.749118856533,159.0,,232080.12250976302,,,Lower 80% of displacements
b 12 50,32975.9403417287,159.0,,258454.45753413677,,,Lower 80% of displacements
